Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-549;0810904594;Georges Rouault;;Georges Rouault;H. N. Abrams;H. N. Abrams;1977;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/6794912-L.jpg
150-550;0974960772;Georges Rouault;;Georges Rouault;Fabrice Hergott;Mitchell-Innes & Nash;2007;;;61;;Disponível;;;https://covers.openlibrary.org/b/id/15206451-L.jpg
150-551;2711802752;Le douanier Rousseau;;Boutan, Mila;Ministere de la culture, Editions de la Reunion des musees nationaux;Ministere de la culture, Editions de la Reunion des musees nationaux;1984;;;277;;Disponível;;;
150-552;9783775715140;Peter Paul Rubens. Katalog zur Ausstellung in der Albertina, Wien;;Paul Rubens, Peter;Cantz Verlag, Hatje;Hatje Cantz Verlag;2004;;;531;;Disponível;;;
150-553;9781857091557;Rubens's landscapes;;Brown, Christopher;Brown, Christopher;National Gallery Publications;1996;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/12881708-L.jpg
150-554;9789058262691;De andere Rubens;;J. Tijs, Rutger;Davidsfonds;Davidsfonds;2004;;;348;;Disponível;;;
150-555;9789076704722;Een hart voor boeken;;de Schapper, Marcus;Antwepen, Stad;Stad Antwepen;2004;;;124;;Disponível;;;
150-556;9061132525;"Peter Paul Rubens; De Mens En De Kunstenaar";;WHITE, Christopher;Atrium;Atrium;1987;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13636205-L.jpg
150-557;9782850565601;Ruhlmann ;;;;Somogy;2002;;;321;;Disponível;;;https://covers.openlibrary.org/b/id/3145183-L.jpg
150-558;9782080108180;Jacques-Emile Ruhlmann;;Breon, Emmanuel;Flammarion;Flammarion;2004;;;;;Disponível;;;
150-559;9780810915596;Ruhlmann, master of Art Deco;;Camard, Florence;Abrams;Abrams;1984;;;312;;Disponível;;;https://covers.openlibrary.org/b/id/4703952-L.jpg
150-560;285056723X;Ruhlmann;;Ruhlmann, Emile-Jacques;Somogy;Somogy;2004;;;327;;Disponível;;;
150-561;9781862220041;Charles Russel;;Buskirk, Amy;Books Ltd, Grange;Grange Books Ltd;1997;;;;;Disponível;;;
150-562;0946708347;Rustin;;Lucie-Smith, Edward;Heneage, T.;T. Heneage;1991;;;311;;Disponível;;;
150-563;9782868820808;Ryan Mendoza;;Mendoza, Ryan;Lelong, Galerie;Galerie Lelong;2007;;;44;;Disponível;;;
150-564;9782912964861;Sabhan Adam;;Adns;Fragments;Fragments;2005;;;69;;Disponível;;;
150-565;9780979094279;Calder, the complete bronzes;;Calder, Alexander;& M Arts in collaboration with the Calder Foundation, L;L & M Arts in collaboration with the Calder Foundation;2012;;;131;;Disponível;;;
150-566;9725890191;Santa Rita, vida e obra;;Matos Chaves, Joaquim;Quimera;Quimera;1989;;;106;;Disponível;;;
150-567;2871630046;Egon Schiele;;;;Palais de Beaux-Arts;1987;;;205;;Disponível;;;
150-568;9780500201831;Egon Schiele;;Whitford, Frank.;and Hudson, Thames;Thames and Hudson;1981;;;215;;Disponível;;;https://covers.openlibrary.org/b/id/7369287-L.jpg
