Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-1522;9782940146642;Garo: Au-delà du Sud;;Garo, Bernard;;Editions Antipodes;2005;História de Arte;Francês;23;;;;;
150-1523;9789722218962;Atlas do Vinho;;Clarke, Oz;;Editorial Verbo;1998;Vinho;Português;320;;;;;
150-1524;9789723709063;Pomar: Autobiografia;;Pomar, Júlio;Pleynet, Marcelin;Assírio & Alvim;2004;História de Arte;Português;312;;;;;
150-1525;9788493310134;El Vino de los Faraones;;Mangado Alonso, M. Luz;;Fundación Dinastía Vivanco;2003;Vinho;Espanhol;280;;;;;
150-1526;9789727593125;Dicionário Prático de Cortiça;;García Pereda, Ignacio;;Temas e Debates;2001;Plantas & Jardins;Português;224;;;;;
150-1527;9789729402975;O Estatuto da Arte;;Afonso, Nadir;;Chaves Ferreira Publicações;1998;História de Arte;Português;122;;;;;
150-1528;8492124644;Joan Ponç: Obras Grandes 1950-1980;;Ponç, Joan;;Fundació Joan Ponç;1996;História de Arte;Espanhol;;;;;;
150-1529;9782738202451;Auguste Rodin;;Jarrassé, Dominique;;Editions Art Image;1993;História de Arte;Francês;126;;;;;
150-1530;9789728423575;Plantas Aromáticas e Medicinais de Portugal;;Rodrigues da Silva, J. A.;;Livraria Minerva;2002;;Português;182;;;;;
150-1531;9789897413490;O Livro do Azeite;;Gouveia, José;;Publindústria;2015;;Português;244;;;;;
150-1532;9781840003086;Jancis Robinson's Taster's Companion;;Robinson, Jancis;;Mitchell Beazley;2000;;Inglês;192;;;;;
150-1533;9788525404831;Vinho e Saúde: Uma Visão Médica;;Monson de Souza Filho, Jairo;;L&PM Editores;1999;;Português;144;;Disponível;;;
150-1534;9789723606256;Cozinha Tradicional Portuguesa;;Modesto, Maria de Lourdes;;Verbo;2002;;Português;352;;;;;
150-1535;9789721528307;Dicionário Prático de Vinho e Escanção;;Carvalho, Manuel de;Silva, José;Europa-América;2004;;Português;216;;Disponível;;;
150-1536;9789726119913;Os Segredos do Vinho: Guia Prático de Prova;;Antunes, Luís;;A Esfera dos Livros;2006;;Português;192;;;;;
150-1537;9789898093554;Vinhos de Portugal;;Martins, João Paulo;;Oficina do Livro;2008;;Português;448;;;;;
150-1538;9789898614230;O Grande Livro dos Vinhos de Portugal;;Almeida, Maria João de;;Zéfiro Edições;2014;;Português;288;;;;;
150-1539;9789728987107;Guia dos Vinhos e Produtores de Portugal;;Coutinho, Aníbal;;Presença;2006;;Português;312;;;;;
150-1540;9789722023306;Guia de Vinhos do Porto e do Douro;;Mayson, Richard;Carvalho, Manuel de;Publicações Dom Quixote;2003;;Português;336;;;;;
150-1541;9789722013024;O Livro do Vinho do Porto;;Fladgate, John;Mayson, Richard;Publicações Dom Quixote;1999;;Português;280;;;;;
150-1542;9789282540053;O Vinho na Comunidade Europeia;;;;Serviço das Publicações Oficiais das Comunidades Europeias;1983;;Português;84;;;;;
150-1543;9789723701777;O Sangue da Terra: Ensaio sobre o Vinho e a Cultura;;Gonçalves, Rui Mário;;Assírio & Alvim;1995;;Português;128;;;;;
150-1544;9789728099961;Sua Excelência o Champanhe e os Nobres Espumantes Naturais Portugueses;;Carrera, Ceferino;;Colares Editora;2001;;Português;288;;;;;
150-1545;9789896603601;Guia das Tascas de Lisboa - Aliança Velha;;Cruz, Tiago;Dias, Marco;Oficina do Livro;2015;;Português;168;;;;;
150-1546;9789727950263;A Minha Selecção - Anuário de Vinhos 2002;;Afonso, João;;Editora Cotovia;2002;;Português;340;;;;;
150-1547;9789727950508;A Minha Selecção - Anuário de Vinhos 2003;;Afonso, João;;Editora Cotovia;2003;;Português;384;;;;;
150-1548;9788573592382;O Vinho e Suas Circunstâncias;;de Paula Santos, Sérgio;;Editora Senac-SP;2002;;Português;256;;;;;
150-1549;9789722013130;Vinhos de Portugal 1997;;Martins, João Paulo;;Publicações Dom Quixote;1997;;Português;308;;;;;
150-1550;9789722019118;Vinhos de Portugal 2001;;Martins, João Paulo;;Publicações Dom Quixote;2001;;Português;;;;;;
150-1551;9789722026482;Guia dos Vinhos Generosos;;Martins, João Paulo;;Publicações Dom Quixote;2004;;Português;224;;;;;
150-1552;9789722030373;Vinhos de Portugal 2007;;Martins, João Paulo;;Publicações Dom Quixote;2007;;Português;416;;;;;
150-1553;9782263025822;L'Univers du Vin;;Crestin-Billet, Frédérique;Pascal, Dominique;Solar;1999;;Francês;256;;;;;
150-1554;9789724238739;Portugal, Vinhos - Cultura e Tradição;;Salvador, José António;;Círculo de Leitores;2006;;Português;224;;;;;
150-1555;9788460501633;Guia Peñín de los Vinos de España 1994-1995;;Peñín, José;;PI & Erre Comunicación;1994;;Espanhol;720;;;;;
150-1556;9789722340793;Portal Portugal 2009 - Guia de Vinhos;;Teles, Tiago;Gomes, Pedro;Editorial Presença;2008;;Português;536;;;;;
150-1557;9789722016575;Tudo Sobre o Vinho do Porto - Os Sabores e as Histórias;;Martins, João Paulo;;Publicações Dom Quixote;2000;;Português;160;;;;;
150-1558;9782012368415;1000 Vins du Monde: Vinalies Internationales;;;;Hachette Pratique;2004;;Francês;;;;;;
150-1559;9789728968007;O Vinho em Portugal / Wine in Portugal;;Martins, João Paulo;Ribeiro, José Manuel;CTT Correios de Portugal;2006;;Português;169;;;;;
150-1560;9789898452016;Guia de Vinhos 2011;;Falcão, Rui;;Livraria Almedina;2010;;Português;600;;Disponível;;;
150-1561;9789722020664;Vinhos de Portugal 2002 Notas de Prova;;Martins, João Paulo;;Publicações Dom Quixote;2002;;Português;360;;;;;
150-1562;9789722111867;O Vinho e os seus Estilos;;Beckett, Fiona;;Editorial Caminho;1999;;Português;120;;;;;
150-1563;9789722048033;Vinhos de Portugal 2012;;Martins, João Paulo;;Publicações Dom Quixote;2012;;Português;240;;;;;
150-1564;9789724140704;Dicionário Ilustrado dos Vinhos de Portugal;;Pacheco, Edgardo;;Edições Asa;2005;;Português;191;;;;;
150-1565;9789020958003;Wijn- e Reisgids Portugal;;van Mierlo, Jeroen;;Uitgeverij Lannoo;2004;;Holandês;224;;Disponível;;;
150-1566;9789974491212;Los Vinos del Uruguay;;de Frutos, Estela;;Ediciones de la Plaza;1998;;Espanhol;126;;;;;
150-1567;9782905780546;Bordeaux et ses Vins (15ª Edição);;Feret, Claude;;Editions Feret;1998;;Francês;1920;;;;;
150-1568;9788461140138;Guía Proensa de los Mejores Vinos de España 2007;;Proensa, Andrés;;VAK MultiMedia;2006;;Espanhol;570;;;;;
150-1569;9789729402036;O Vinho do Porto na Época Pombalina;;Barros Cardoso, António de;;Chaves Ferreira Publicações;1998;;Português;144;;;;;
150-1570;9789727951079;Anuário de Vinhos 2004;;Afonso, João;;Editora Cotovia;2004;;Português;432;;;;;
150-1571;9789724227887;Dicionário do Vinho do Porto;;Modesto, Maria de Lourdes;;Círculo de Leitores;2002;;Português;244;;;;;
150-1572;9781743797136;World Atlas of Wine (8ª Edição);;Johnson, Hugh;Robinson, Jancis;Hardie Grant Books;2019;;Inglês;416;;;;;
150-1573;9781919939995;John Platter South African Wine Guide 2005;;Platter, John;;John Platter SA Wine Guide;2004;;Inglês;544;;Disponível;;;
150-1574;9789723606263;Grande Enciclopédia da Cozinha (Volume 1);;Modesto, Maria de Lourdes;;Editorial Verbo;2002;;Português;288;;;;;
150-1575;9789723605860;Sabores de Portugal / Flavours of Portugal;;Modesto, Maria de Lourdes;Homem Cardoso, António;Editorial Verbo;2001;;Português;168;;;;;
150-1576;9789723605143;Queijos Portugueses;;Modesto, Maria de Lourdes;Colaço, Maria Cândida;Editorial Verbo;1999;;Português;136;;;;;
150-1577;9789722038348;Vinhos de Portugal 2010;;Martins, João Paulo;;Publicações Dom Quixote;2010;;Português;504;;;;;
150-1578;9789722015233;Guia dos Vinhos de Portugal 1999;;Martins, João Paulo;;Publicações Dom Quixote;1999;;Português;324;;;;;
150-1579;9789722029469;Vinhos de Portugal 2006;;Martins, João Paulo;;Publicações Dom Quixote;2006;;Português;396;;;;;
150-1580;9789723607178;Cozinha Tradicional Portuguesa (Edição de Luxo);;Modesto, Maria de Lourdes;;Editorial Verbo;2004;;Português;350;;;;;
150-1581;9789727393060;Cildo Meireles: Em Busca de Tudo o que Não Foi Perdido;;Fernandes, João;;Fundação de Serralves;2014;História de Arte;Português;251;;Disponível;;;
150-1582;9782361951467;111 Lieux en Bourgogne à ne pas manquer;;Längin, Kristin;;Emons Verlag;2016;;Francês;240;;;;;
150-1583;9788588844797;Enciclopédia Ilustrada do Vinho;;Jackson, Michael;Johnson, Hugh;Publifolha;2008;;Português;544;;;;;
150-1584;9789897355851;Queijos de Portugal / Cheeses of Portugal;;;;Letras Lavadas Edições;2024;;Português;128;;Disponível;;;
150-1585;9789727392834;Robert Mapplethorpe: Catálogo Raisonné;;Fernandes, João;;Fundação de Serralves;2011;História de Arte;Português;240;;;;;
150-1586;9782010133916;Le Grand Larousse du Vin;;;;Larousse;1988;;Francês;448;;;;;
150-1587;9783833118876;Culinaria Italia;;Piras, Claudia;Medagliani, Claudia;Könemann;2005;;Alemão;496;;;;;
150-1588;9789020984484;Wijn- e Reisgids Frankrijk;;Rodriguez, Dirk;;Uitgeverij Lannoo;2009;;Holandês;240;;;;;
150-1589;9789725643228;O Livro da Cozinha Portuguesa;;Modesto, Maria de Lourdes;;Quetzal Editores;1998;;Português;312;;;;;
150-1590;9780615298139;Charles Garabedian: A Retrospective;;Garabedian, Charles;Elder, Nika;Santa Barbara Museum of Art;2011;História de Arte;Inglês;168;;;;;
150-1591;9789722606196;Arte e Percepção Visual: Uma Psicologia da Visão Criadora;;Arnheim, Rudolf;;Porto Editora;1998;História de Arte;Português;496;;Disponível;;;
150-1592;9782916206080;Charles Avery: The Islanders: An Introduction;;Avery, Charles;;Paradox / Parasol Unit;2008;História de Arte;Inglês;144;;;;;
150-1593;9789727971121;Quintas de Portugal;;;;Edições Inapa;2005;;Português;192;;;;;
150-1594;9789893303801;Charles Lepani: A Life of Service;;Lepani, Charles;;UPNG Press;2020;;Inglês;;;;;;
150-1595;9789724923109;Da Pintura Portuguesa: Textos de História e Crítica d'Arte;;dos Santos, Reynaldo;;Editorial Estampa;2002;História de Arte;Português;156;;;;;
150-1596;9789724923178;O Românico em Portugal;;dos Santos, Reynaldo;;Editorial Estampa;2003;História de Arte;Português;144;;;;;
150-1597;9789724923161;O Manuelino;;dos Santos, Reynaldo;;Editorial Estampa;2002;História de Arte;Português;138;;Disponível;;;
150-1598;9789724923338;Os Primitivos Portugueses (1450-1550);;dos Santos, Reynaldo;;Editorial Estampa;2004;História de Arte;Português;168;;;;;
150-1599;9780500950371;Chaim Soutine: 1893-1943;;Güse, Ernst-Gerhard;;Thames & Hudson;1982;História de Arte;Inglês;256;;;;;
150-1600;9788482890814;Chano Piñeiro: Unha Fita de Cineastas;;;;Consellería de Cultura - Xunta de Galicia;2005;História de Arte;Espanhol;180;;;;;
150-1601;9788882153342;Chinoiserie: The Lure of the East in Western Art;;Morena, Francesco;;Silvana Editoriale;2002;História de Arte;Inglês;160;;;;;
150-1602;9788489913370;Chris Ofili;;Ofili, Chris;;Museo Reina Sofía;2003;História de Arte;Espanhol;76;;;;;
150-1603;9788434308862;Christo and Jeanne-Claude;;Baal-Teshuva, Jacob;;Ediciones Polígrafa;2000;História de Arte;Espanhol;96;;;;;
150-1604;9789462303331;Charles Avery: The Islanders;;Avery, Charles;;Hannibal Books;2022;História de Arte;Inglês;160;;Disponível;;;
150-1605;9789724413891;O Sentido da Beleza: Esboço de uma Teoria Estética;;Santayana, George;;Edições 70;2007;História de Arte;Português;224;;;;;
150-1606;9789724401607;A Transfiguração do Lugar-Comum: Uma Filosofia da Arte;;Danto, Arthur C.;;Edições 70;2005;História de Arte;Português;304;;;;;
150-1607;9791096209187;Charles-François Daubigny: Peindre la Lumière;;;;Éditions In Fine;2021;História de Arte;Francês;112;;;;;
150-1608;9789724410500;Sobre a Expressão e os Caracteres nas Artes Plásticas;;Milizia, Francesco;;Edições 70;2001;História de Arte;Português;144;;Disponível;;;
150-1609;050027083X;Graphic Work of Albrecht Dürer;;Dürer, Albrecht;Knappe, Karl-Adolf;Thames & Hudson;1976;História de Arte;Inglês;383;;;;;
150-1610;9789068061178;Albrecht Dürer: Het Grafisch Werk;;Anzelewsky, Fedja;;Atrium;1990;História de Arte;Holandês;288;;;;;
150-1611;9783822806227;Albrecht Dürer, 1471-1528;;Wolf, Norbert;;Taschen;2006;História de Arte;Inglês;96;;Disponível;;;
150-1612;9789020417593;Albrecht Dürer: Schilderijen en Tekeningen;;;;L.J. Veen;1993;História de Arte;Holandês;192;;;;;
150-1613;9021301474;De Prenten van Albrecht Dürer;;;;Cantecleer;1989;História de Arte;Holandês;128;;;;;
150-1614;9789899544802;Damião de Goes: Humanista e Diplomata;;;;Comissariado Geral das Comemorações de Damião de Goes;2003;História de Arte;Português;116;;;;;
150-1615;9729961611;Damião de Góis e a Europa do Renascimento;;;;CITCEM / Universidade do Porto;2004;História de Arte;Português;248;;;;;
150-1616;9788817145077;Diari;;Dürer, Albrecht;Goldin, Daniela;Rizzoli;1995;História de Arte;Italiano;188;;;;;
150-1617;9789722327770;Charles Chaplin: A Minha Autobiografia;;Chaplin, Charles;;Editorial Presença;2001;;Português;516;;;;;
150-1618;9789724411163;Teoria do Filme: A Redenção da Realidade Física;;Kracauer, Siegfried;;Edições 70;2004;História de Arte;Português;432;;;;;
150-1619;9789724714950;Charlot: Vida e Obra de Charles Chaplin;;Robinson, David;Sena, Jorge de;Texto Editores;2002;;Português;168;;Disponível;;;
150-1620;9789722610407;Arte e Percepção Visual: Uma Psicologia da Visão Criadora;;Arnheim, Rudolf;;Porto Editora;1994;História de Arte;Português;496;;;;;
150-1621;3550076886;Ich, Charlie: Die Autobiographie;;Chaplin, Charles;;Ullstein;1993;;Alemão;512;;;;;
150-1622;9788533602809;Arte e Percepção Visual (Edição Brasileira);;Arnheim, Rudolf;;Martins Fontes;1994;História de Arte;Português;504;;;;;
150-1623;9788500010965;Minha Vida;;Chaplin, Charles;;Editora Ediouro;2003;;Português;540;;;;;
150-1624;9789723309386;Courbet;;Courthion, Pierre;;Editorial Estampa;1999;História de Arte;Português;144;;Disponível;;;
150-1625;9729184372;Christo e Jeanne-Claude;;;;Galeria Carlos Carvalho Arte Contemporânea;2002;História de Arte;Português;;;;;;
150-1626;9789723308983;Corot;;Taillandier, Yvon;;Editorial Estampa;1992;História de Arte;Português;144;;;;;
150-1627;9789724406244;Teoria do Cinema: A Redenção da Realidade Física;;Kracauer, Siegfried;;Edições 70;1988;História de Arte;Português;432;;;;;
150-1628;9789724405599;Estética;;Croce, Benedetto;Silva, João;Edições 70;1986;História de Arte;Português;188;;Disponível;;;
150-1629;9789724411170;Abstracção e Empatia;;Worringer, Wilhelm;;Edições 70;2001;História de Arte;Português;200;;;;;
150-1630;9789724412467;Crítica de Arte e Outros Ensaios;;Baudelaire, Charles;;Edições 70;2004;História de Arte;Português;192;;;;;
150-1631;9789722310819;Charlie Chaplin;;Robinson, David;;Editorial Presença;1989;;Português;176;;;;;
150-1632;9789055445219;De Wereld van Constant Permeke;;Borchert, Till-Holger;Van den Bussche, Willy;Uitgeverij Ludion;2004;História de Arte;Holandês;48;;;;;
150-1633;9788486763930;Claudio Bravo: Visiones de la Realidad;;Bravo, Claudio;;Fundación Caja de Pensiones;1994;História de Arte;Espanhol;172;;;;;
150-1634;9782804604141;Paul Delvaux;;Rombaut, Marc;;Editions Casterman;1999;História de Arte;Francês;128;;;;;
150-1635;9789723312034;Dalí;;Descharnes, Robert;;Editorial Estampa;1993;História de Arte;Português;144;;;;;
150-1636;2731202971;Salvador Dalí: Les Chefs-d'Œuvre;;Descharnes, Robert;;Editions Famot;1984;História de Arte;Francês;140;;Disponível;;;
150-1637;9783721500127;Paul Delvaux: Oeuvre Gravé;;Jacob, Mira;;Galerie Kornfeld;1976;História de Arte;Francês;162;;Disponível;;;
150-1638;2731201398;Daumier: Les Chefs-d'Œuvre;;Melot, Michel;;Editions Famot;1981;História de Arte;Francês;138;;Disponível;;;
150-1639;9061133718;Paul Delvaux: Schilderijen en Tekeningen;;;;Museum Boymans-van Beuningen;1992;História de Arte;Holandês;176;;;;;
150-1640;975479054X;Perge: Ein Reiseführer;;Özgür, M. Edip;;NET Turistik Yayınlar;1988;;Alemão;;;;;;
150-1641;9789727072811;Arte Romana;;Woodford, Susan;Alfaro, José;Plátano Editora;2001;História de Arte;Português;140;;;;;
150-1642;9789051571431;Bernard van Clairvaux en de Cisterciënzerkunst;;Duby, Georges;;Agon;1992;História de Arte;Holandês;166;;Disponível;;;
150-1643;9782080126344;L'Ornement: Formes et Fonctions dans l'Art Islamique;;Grabar, Oleg;;Flammarion;1996;História de Arte;Francês;228;;;;;
150-1644;9782757708293;Comptoirs du Monde: Les Feitorias Portugaises, XVe-XVIIe Siècles;;Chougnet, Jean-François;Baptista Pereira, Fernando António;Éditions du Patrimoine;2022;História de Arte;Francês;67;;;;;
150-1645;9789895300266;Le Portugal et le Monde: Symbioses Artistiques aux XVIème et XVIIème Siècles;;Pires, Catarina;;São Roque, Antiguidades e Galeria de Arte;2022;História de Arte;Francês;425;;;;;
150-1646;9789723700527;O Estúdio de Alberto Giacometti;;Genet, Jean;;Assírio & Alvim;1988;História de Arte;Português;72;;Disponível;;;
150-1647;9783922805106;Hans-Oiseau Kalkmann: Im Chaos - die Ordnende Hand;;Hilbig, Norbert;Monnier-Raball, Jacques;Kunstverein Bad Salzdetfurth;2015;História de Arte;Alemão;282;;Disponível;;;
150-1648;9789728985493;A Floresta Europeia / The European Forest;;Curval, Jorge;;Calendário de Letras;2011;História de Arte;Português;;;Disponível;;;
150-1649;9788580661378;João Turin: Vida, Obra, Arte - Volume 1;;Teixeira Leite, José Roberto;;Editora IPAC;2014;História de Arte;Português;312;;Disponível;;;
150-1650;9789893532775;O Azulejo Hispano-Árabe em Portugal;;Sarmento, Ricardo de Morais;;Scribe Publications;2024;História de Arte;Português;264;;Disponível;;;
150-1651;9789724401768;Design e Comunicação Visual;;Munari, Bruno;;Edições 70;1993;História de Arte;Português;374;;Disponível;;;
150-1652;9789020950175;Creativiteit. Hoe? Zo!;;Byttebier, Igor;van Blokland, Erik;Uitgeverij Lannoo;2002;História de Arte;Holandês;282;;Disponível;;;
150-1653;9782868821119;Rebecca Horn: Between The Knives The Emptiness;;Horn, Rebecca;von Drathen, Doris;Galerie Lelong;2014;História de Arte;Francês;72;;Disponível;;;
150-1654;9789081041843;Folkert De Jong: Saltimbanques;;Volk, Gregory;de Jong, Folkert;Black Cat Publishing;2007;História de Arte;Inglês;128;;Disponível;;;
150-1655;9782952778718;Raymond Delamarre, 1890-1986;;Greiner, Hélène;;Galerie Martel-Greiner;2007;História de Arte;Francês;163;;Disponível;;;
150-1656;9788874392940;Visions d'Afrique - Vol. 2: Fang;;Perrois, Louis;Bouttiaux, Anne-Marie;5 Continents Editions;2006;História de Arte;Francês;156;;Disponível;;;
150-1657;9788496466357;Nicolás Muller;;;;La Fábrica Editorial;2005;História de Arte;Espanhol;56;;Disponível;;;
150-1658;9788495471062;Antoni Tàpies: Certeses Sentides;;Tàpies, Antoni;Borja-Villel, Manuel;MACBA;2000;História de Arte;Espanhol;112;;Disponível;;;
